"","Catch","SSB","F"
"ES-FM-M-2",0.90789606104198,1.5579648361679,0.543914504214887
"ES-FSPR-M-2",0.909532062829136,1.55572794762327,0.540807201837285
"Ensemble-M-2",0.948119637166614,1.51277608210109,0.654998648382059
"ES-Frecent-M-2",0.754376170384383,1.49645697215275,0.634221610488074
"PBS-Catch-1",0.720092604118948,1.4823123096196,0.61920451385075
"PBS-M-2",0.714264322170982,1.63412074989288,0.536685388854393
"DLM-M-2",0.666620567272703,1.69508410379309,0.490788990723509
"Itarget-M-2",0.687453882179742,1.59915769299317,0.426369370905513
"DLM-Catch-1",0.592003746816494,1.51645166722769,0.508451173778213
"Ensemble-M-1",0.976813796500715,1.80159213059224,0.526426820561558
"Islope-M-1",0.799208613202538,1.76404837732998,0.516667188812982
"ES-Frecent-M-1",0.761229285280387,1.98390714389283,0.40210385962598
"Itarget-M-1",0.835051551167999,1.87561730761611,0.414091144723192
"CC-FM-Catch-2",0.407536343422723,1.12033676578447,0.505697617902178
"CC-FSPR-Catch-2",0.399874009402487,1.09980474598478,0.503316378242904
"PBS-M-1",0.727253346311759,2.10983094385757,0.353678640367812
"DLM-M-1",0.648975573435585,2.11454333873723,0.333410522809609
"CC-FM-M-1",0.566307454868136,2.30882292149297,0.226283045323292
"CC-FSPR-M-1",0.564922867105255,2.29118857391427,0.222616723535621
"CC-FM-M-2",0.261038223006662,2.4640189384812,0.111250146466048
"CC-FSPR-M-2",0.265206192751989,2.43964388415977,0.119084468771709
"AIM-M-2",1.08826294094041,1.21372542599,1.00552346439975
"ES-Fstable-M-2",1.08273871021213,1.22137859424683,0.993257028600585
"CC-FM-Catch-1",0.890177654928146,1.15925666500188,1.04159193390918
"CC-FSPR-Catch-1",0.876508478473773,1.18570739364608,0.941436653727534
"Islope-M-2",0.785716902095562,1.3537539684144,0.814624320163311
"ES-Frecent-Catch-1",0.724701010044468,1.36616305614339,0.705286927057056
"Islope-Catch-1",0.746239428260458,1.20159818241499,0.861774455953126
"ES-Fstable-M-1",1.21229231648797,1.53385372418083,0.777083196441309
"AIM-M-1",1.2172252767672,1.53154624846597,0.772917506711329
"ES-FM-M-1",1.16302924604006,1.60125321015176,0.698841487077575
"ES-FSPR-M-1",1.15646697086783,1.60585238235456,0.698001088371071
"Skate-M-1",1.30415437159774,1.36651123182215,1.09177104182721
"Skate-M-2",1.12120598871544,1.06090370410053,1.44208603296589
"PBS-Catch-2",0.46729385688136,0.669235037733373,1.22491664936394
"DLM-Catch-2",0.43286395667346,0.686907841953097,1.16312125662296
"ES-Frecent-Catch-2",0.482031707588799,0.589076087729043,1.45457509019253
"Islope-Catch-2",0.494701428501175,0.48752331843413,1.93000510017945
"AIM-Catch-2",0.700166419541038,0.249163835621038,5.42787931068977
"ES-Fstable-Catch-2",0.705114915691191,0.251741848074926,5.35693016406208
"Itarget-Catch-1",1.35250224195907,0.563907694551099,5.15031418243022
"ES-FSPR-Catch-2",0.708290225232649,0.281253824183997,4.7288005961052
"ES-FM-Catch-2",0.70804398303123,0.27609748927245,4.60641083374905
"AIM-Catch-1",1.17444299716129,0.368443262938942,6.26743265831494
"ES-Fstable-Catch-1",1.18032612473809,0.37552482854604,6.17181431736947
"Ensemble-Catch-1",1.06301119735786,0.483403803216145,5.94126180280111
"Ensemble-Catch-2",0.658643775162627,0.368140704115274,3.64424196759531
"Itarget-Catch-2",0.681536866070546,0.464458651496325,2.83955959329119
"ES-FM-Catch-1",0.931663515784233,0.209414329312637,8.72985234370611
"ES-FSPR-Catch-1",0.929705772267666,0.211364627590779,8.72985234370611
"Skate-Catch-1",0.989974321701118,0.232532415611126,8.72985234370611
"Skate-Catch-2",0.579803147043037,0.149575100227464,8.72985234370611
